"history_id","user_id","location","recorded_at","transport_mode"
3073,9,POINT (-84.0074055 34.0057912),2026-09-08 03:50:22.778 -0400,
3072,9,POINT (-84.0073915 34.0057851),2026-09-08 03:49:20.666 -0400,
3071,9,POINT (-84.0073942 34.0057266),2026-09-08 03:48:19.692 -0400,
3070,9,POINT (-84.0074141 34.0057452),2026-09-08 03:47:18.966 -0400,
3069,9,POINT (-84.0074039 34.0056789),2026-09-08 03:46:18.126 -0400,
3068,9,POINT (-84.0073908 34.0057948),2026-09-08 03:45:10.019 -0400,
3067,9,POINT (-84.007393 34.0056781),2026-09-08 03:44:08.580 -0400,
3066,9,POINT (-84.0074237 34.005675),2026-09-08 03:43:06.284 -0400,
3065,9,POINT (-84.0073993 34.005777),2026-09-08 03:42:03.875 -0400,
3064,9,POINT (-84.0073915 34.0057805),2026-09-08 03:41:01.941 -0400,
3063,9,POINT (-84.007507 34.0057525),2026-09-08 03:39:58.181 -0400,
3062,9,POINT (-84.007533 34.0057207),2026-09-08 03:38:54.769 -0400,
3061,9,POINT (-84.0075205 34.0057359),2026-09-08 03:37:51.489 -0400,
3060,9,POINT (-84.0075339 34.0057579),2026-09-08 03:36:56.828 -0400,
3059,9,POINT (-84.0074302 34.0057566),2026-09-08 03:35:55.857 -0400,
3058,9,POINT (-84.007402 34.0057804),2026-09-08 03:34:54.137 -0400,
3057,9,POINT (-84.0073926 34.0057341),2026-09-08 03:33:52.536 -0400,
3056,9,POINT (-84.0073991 34.0057696),2026-09-08 03:32:50.132 -0400,
3055,9,POINT (-84.0073934 34.0057822),2026-09-08 03:31:47.823 -0400,
3054,9,POINT (-84.0074047 34.0057746),2026-09-08 03:30:46.900 -0400,
3053,9,POINT (-84.0073997 34.0057846),2026-09-08 03:29:44.863 -0400,
3052,9,POINT (-84.0074002 34.0057285),2026-09-08 03:28:44.128 -0400,
3051,9,POINT (-84.0073974 34.0057473),2026-09-08 03:27:41.946 -0400,
3050,9,POINT (-84.0074022 34.0057564),2026-09-08 03:26:40.143 -0400,
3049,9,POINT (-84.0074093 34.0057735),2026-09-08 03:25:38.099 -0400,
3048,9,POINT (-84.007397 34.0057763),2026-09-08 03:24:35.881 -0400,
3047,9,POINT (-84.0074023 34.0057526),2026-09-08 03:23:34.335 -0400,
3046,9,POINT (-84.007397 34.0057944),2026-09-08 03:22:32.150 -0400,
3045,9,POINT (-84.0074051 34.0057359),2026-09-08 03:21:30.161 -0400,
3044,9,POINT (-84.0073934 34.0057483),2026-09-08 03:20:28.243 -0400,
3043,9,POINT (-84.0073934 34.0057155),2026-09-08 03:19:26.361 -0400,
3042,9,POINT (-84.0073908 34.0057814),2026-09-08 03:18:24.122 -0400,
3041,9,POINT (-84.0074049 34.0058084),2026-09-08 03:17:22.151 -0400,
3040,9,POINT (-84.0073945 34.0057693),2026-09-08 03:16:19.879 -0400,
3039,9,POINT (-84.0074007 34.0057636),2026-09-08 03:15:19.070 -0400,
3038,9,POINT (-84.0073969 34.0057631),2026-09-08 03:14:17.922 -0400,
3037,9,POINT (-84.0073931 34.0057822),2026-09-08 03:13:16.468 -0400,
3036,9,POINT (-84.0073901 34.0057812),2026-09-08 03:12:14.230 -0400,
3035,9,POINT (-84.0073897 34.0056542),2026-09-08 03:11:11.124 -0400,
3034,9,POINT (-84.0074765 34.0057072),2026-09-08 03:10:07.920 -0400,
3033,9,POINT (-84.0075374 34.0057393),2026-09-08 03:09:03.237 -0400,
3032,9,POINT (-84.0074243 34.0057697),2026-09-08 03:08:08.481 -0400,
3031,9,POINT (-84.0074114 34.0057867),2026-09-08 03:07:05.866 -0400,
3030,9,POINT (-84.0074017 34.0057591),2026-09-08 03:06:03.923 -0400,
3029,9,POINT (-84.0074294 34.0057702),2026-09-08 03:05:01.955 -0400,
3028,9,POINT (-84.0074014 34.0057437),2026-09-08 03:03:59.917 -0400,
3027,9,POINT (-84.0074002 34.0057897),2026-09-08 03:02:58.414 -0400,
3026,9,POINT (-84.0073959 34.0057825),2026-09-08 03:01:56.231 -0400,
3025,9,POINT (-84.0074045 34.0057711),2026-09-08 03:00:54.170 -0400,
3024,9,POINT (-84.0073984 34.005795),2026-09-08 02:59:52.214 -0400,
3023,9,POINT (-84.0074023 34.0057572),2026-09-08 02:58:50.297 -0400,
3022,9,POINT (-84.0074007 34.0057637),2026-09-08 02:57:48.396 -0400,
3021,9,POINT (-84.0073987 34.0057577),2026-09-08 02:56:46.257 -0400,
3020,9,POINT (-84.0074204 34.0057789),2026-09-08 02:55:44.897 -0400,
3019,9,POINT (-84.0073948 34.0056838),2026-09-08 02:54:43.153 -0400,
3018,9,POINT (-84.0073964 34.0057841),2026-09-08 02:53:41.317 -0400,
3017,9,POINT (-84.0074096 34.0057707),2026-09-08 02:52:39.114 -0400,
3016,9,POINT (-84.0073983 34.0057378),2026-09-08 02:51:36.786 -0400,
3015,9,POINT (-84.0073928 34.0057172),2026-09-08 02:50:36.066 -0400,
3014,9,POINT (-84.0074008 34.0057472),2026-09-08 02:49:33.719 -0400,
3013,9,POINT (-84.0073976 34.0057258),2026-09-08 02:48:31.973 -0400,
3012,9,POINT (-84.0073988 34.0057452),2026-09-08 02:47:30.332 -0400,
3011,9,POINT (-84.0073946 34.0057845),2026-09-08 02:46:28.134 -0400,
3010,9,POINT (-84.0074108 34.00577),2026-09-08 02:45:26.190 -0400,
3009,9,POINT (-84.0073882 34.0057891),2026-09-08 02:44:25.142 -0400,
3008,9,POINT (-84.007389 34.0057883),2026-09-08 02:43:24.387 -0400,
3007,9,POINT (-84.0073906 34.0057863),2026-09-08 02:42:23.778 -0400,
3006,9,POINT (-84.0073897 34.0057853),2026-09-08 02:41:22.886 -0400,
3005,9,POINT (-84.0073885 34.0057881),2026-09-08 02:40:22.225 -0400,
3004,9,POINT (-84.0073916 34.0057849),2026-09-08 02:39:21.456 -0400,
3003,9,POINT (-84.0073994 34.0057606),2026-09-08 02:38:20.732 -0400,
3002,9,POINT (-84.0074904 34.0057039),2026-09-08 02:37:19.503 -0400,
3001,9,POINT (-84.0074906 34.0056853),2026-09-08 02:36:15.501 -0400,
3000,9,POINT (-84.0075331 34.0057234),2026-09-08 02:35:12.216 -0400,
2999,9,POINT (-84.0074669 34.0057189),2026-09-08 02:34:09.442 -0400,
2998,9,POINT (-84.0074793 34.0057194),2026-09-08 02:33:05.228 -0400,
2997,9,POINT (-84.0074011 34.0057802),2026-09-08 02:32:11.614 -0400,
2996,9,POINT (-84.0073958 34.0056831),2026-09-08 02:31:10.736 -0400,
2995,9,POINT (-84.0074053 34.005623),2026-09-08 02:30:09.909 -0400,
2994,9,POINT (-84.0073977 34.0057775),2026-09-08 02:29:09.164 -0400,
2993,9,POINT (-84.0074183 34.0057114),2026-09-08 02:28:08.338 -0400,
2992,9,POINT (-84.00739 34.00572),2026-09-08 02:27:08.099 -0400,
2991,9,POINT (-84.007388 34.0057034),2026-09-08 02:26:06.915 -0400,
2990,9,POINT (-84.0073894 34.0056625),2026-09-08 02:25:06.278 -0400,
2989,9,POINT (-84.0073898 34.0056585),2026-09-08 02:24:05.340 -0400,
2988,9,POINT (-84.0073959 34.0056274),2026-09-08 02:23:04.619 -0400,
2987,9,POINT (-84.0073911 34.0056582),2026-09-08 02:22:04.047 -0400,
2986,9,POINT (-84.0073934 34.0057108),2026-09-08 02:21:03.067 -0400,
2985,9,POINT (-84.0073985 34.005628),2026-09-08 02:20:02.326 -0400,
2984,9,POINT (-84.0073907 34.0057803),2026-09-08 02:19:01.531 -0400,
2983,9,POINT (-84.0073897 34.0057875),2026-09-08 02:18:00.810 -0400,
2982,9,POINT (-84.0073894 34.0056609),2026-09-08 02:16:58.414 -0400,
2981,9,POINT (-84.0073926 34.0057864),2026-09-08 02:15:57.506 -0400,
2980,9,POINT (-84.0073892 34.005656),2026-09-08 02:14:56.814 -0400,
2979,9,POINT (-84.0073922 34.0057553),2026-09-08 02:13:56.340 -0400,
2978,9,POINT (-84.007394 34.0057833),2026-09-08 02:12:55.345 -0400,
2977,9,POINT (-84.0073986 34.0057824),2026-09-08 02:11:54.869 -0400,
2976,9,POINT (-84.0073902 34.0057868),2026-09-08 02:10:54.074 -0400,
2975,9,POINT (-84.0073945 34.0057766),2026-09-08 02:09:52.463 -0400,
2974,9,POINT (-84.0073948 34.0057852),2026-09-08 02:08:52.015 -0400,
2973,9,POINT (-84.0073876 34.0056727),2026-09-08 02:07:49.788 -0400,
2972,9,POINT (-84.0073922 34.005788),2026-09-08 02:06:48.923 -0400,
2971,9,POINT (-84.0073924 34.0057882),2026-09-08 02:05:46.792 -0400,
2970,9,POINT (-84.0073912 34.0057854),2026-09-08 02:04:44.984 -0400,
2969,9,POINT (-84.0073993 34.0057606),2026-09-08 02:03:42.760 -0400,
2968,9,POINT (-84.007393 34.0057967),2026-09-08 02:02:40.857 -0400,
2967,9,POINT (-84.0073939 34.0057809),2026-09-08 02:01:39.220 -0400,
2966,9,POINT (-84.0073988 34.0057682),2026-09-08 02:00:37.012 -0400,
2965,9,POINT (-84.0074472 34.0055193),2026-09-08 01:59:36.320 -0400,
2964,9,POINT (-84.0073961 34.0057824),2026-09-08 01:58:34.806 -0400,
2963,9,POINT (-84.0073883 34.0056649),2026-09-08 01:57:33.136 -0400,
2962,9,POINT (-84.0072684 34.0057268),2026-09-08 01:56:30.559 -0400,
2961,9,POINT (-84.007442 34.0057514),2026-09-08 01:55:27.535 -0400,
2960,9,POINT (-84.0074483 34.0057507),2026-09-08 01:54:25.304 -0400,
2959,9,POINT (-84.0074586 34.0057235),2026-09-08 01:53:22.182 -0400,
2958,9,POINT (-84.0074047 34.0057757),2026-09-08 01:52:28.798 -0400,
2957,9,POINT (-84.0073962 34.0057807),2026-09-08 01:51:27.261 -0400,
2956,9,POINT (-84.0073917 34.0057848),2026-09-08 01:50:25.279 -0400,
2955,9,POINT (-84.0073881 34.0057893),2026-09-08 01:49:24.533 -0400,
2954,9,POINT (-84.0073908 34.0057859),2026-09-08 01:48:23.723 -0400,
2953,9,POINT (-84.0073898 34.0057866),2026-09-08 01:47:21.738 -0400,
2952,9,POINT (-84.0073872 34.0057878),2026-09-08 01:46:20.161 -0400,
2951,9,POINT (-84.0073958 34.0057861),2026-09-08 01:45:17.819 -0400,
2950,9,POINT (-84.0073894 34.0057878),2026-09-08 01:44:15.529 -0400,
2949,9,POINT (-84.0073898 34.0057944),2026-09-08 01:43:14.764 -0400,
2948,9,POINT (-84.0073873 34.0056765),2026-09-08 01:42:12.916 -0400,
2947,9,POINT (-84.0073926 34.0057859),2026-09-08 01:41:10.962 -0400,
